match_id,date,venue,batting_team,opponent,innings,runs,balls,dismissed,century,fifty
343732,2008-08-18,Rangiri Dambulla International Stadium,India,Sri Lanka,1,12,22,True,False,False
343733,2008-08-20,Rangiri Dambulla International Stadium,India,Sri Lanka,2,37,69,True,False,False
343734,2008-08-24,R Premadasa Stadium,India,Sri Lanka,1,25,41,True,False,False
366341,2008-08-27,R Premadasa Stadium,India,Sri Lanka,1,54,66,True,False,True
343736,2008-08-29,R Premadasa Stadium,India,Sri Lanka,2,31,47,True,False,False
403383,2009-09-14,R Premadasa Stadium,India,Sri Lanka,1,2,2,False,False,False
415278,2009-09-26,SuperSport Park,India,Pakistan,2,16,24,True,False,False
415284,2009-09-30,New Wanderers Stadium,India,West Indies,2,79,107,False,False,True
416236,2009-10-25,Reliance Stadium,India,Australia,2,30,42,True,False,False
416239,2009-11-02,"Punjab Cricket Association Stadium, Mohali",India,Australia,2,10,17,True,False,False
430886,2009-12-15,Madhavrao Scindia Cricket Ground,India,Sri Lanka,1,27,19,True,False,False
430887,2009-12-18,"Vidarbha Cricket Association Stadium, Jamtha",India,Sri Lanka,1,54,65,True,False,True
430889,2009-12-24,Eden Gardens,India,Sri Lanka,2,107,119,True,True,False
434259,2010-01-05,Shere Bangla National Stadium,India,Sri Lanka,1,9,12,True,False,False
434260,2010-01-07,Shere Bangla National Stadium,India,Bangladesh,2,91,107,True,False,True
434262,2010-01-10,Shere Bangla National Stadium,India,Sri Lanka,2,71,69,False,False,True
434263,2010-01-11,Shere Bangla National Stadium,India,Bangladesh,2,102,95,False,True,False
434264,2010-01-13,Shere Bangla National Stadium,India,Sri Lanka,1,2,8,True,False,False
441827,2010-02-21,Sawai Mansingh Stadium,India,South Africa,1,31,46,True,False,False
441829,2010-02-27,"Sardar Patel Stadium, Motera",India,South Africa,2,57,71,True,False,True
452147,2010-05-30,Queens Sports Club,India,Sri Lanka,2,82,93,True,False,True
452149,2010-06-03,Harare Sports Club,India,Zimbabwe,1,18,29,True,False,False
452150,2010-06-05,Harare Sports Club,India,Sri Lanka,1,68,95,True,False,True
455232,2010-06-16,Rangiri Dambulla International Stadium,India,Bangladesh,2,11,22,True,False,False
455234,2010-06-19,Rangiri Dambulla International Stadium,India,Pakistan,2,18,27,True,False,False
455236,2010-06-22,Rangiri Dambulla International Stadium,India,Sri Lanka,1,10,14,True,False,False
455237,2010-06-24,Rangiri Dambulla International Stadium,India,Sri Lanka,1,28,34,True,False,False
456663,2010-08-16,Rangiri Dambulla International Stadium,India,Sri Lanka,2,0,3,True,False,False
456665,2010-08-25,Rangiri Dambulla International Stadium,India,New Zealand,1,8,16,True,False,False
456668,2010-08-28,Rangiri Dambulla International Stadium,India,Sri Lanka,2,37,57,True,False,False
464529,2010-10-20,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,Australia,2,118,125,True,True,False
467883,2010-11-28,Nehru Stadium,India,New Zealand,1,105,107,True,True,False
467884,2010-12-01,Sawai Mansingh Stadium,India,New Zealand,2,64,73,True,False,True
467885,2010-12-04,Reliance Stadium,India,New Zealand,2,63,73,False,False,True
467886,2010-12-07,M Chinnaswamy Stadium,India,New Zealand,2,0,3,True,False,False
467887,2010-12-10,"MA Chidambaram Stadium, Chepauk",India,New Zealand,2,2,8,True,False,False
463150,2011-01-12,Kingsmead,India,South Africa,2,54,72,True,False,True
